event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
8,1021,1125,80,176,2030,221,2061,104
8,1021,1126,0,16,2031,270,2060,321
8,1021,1139,32,48,2031,282,2060,330
8,1021,1140,32,48,2030,233,2061,114
8,1021,1155,64,48,2030,239,2060,342
8,1021,1167,16,0,2030,252,2060,351
8,1021,1172,32,48,2030,256,2060,353
8,1040,1061,80,96,2030,221,2061,104
8,1040,1062,0,0,2031,270,2060,321
8,1040,1066,64,64,2030,224,2060,324
8,1040,1077,32,32,2030,233,2061,114
8,1040,1090,64,32,2030,239,2060,342
8,1040,1104,16,16,2030,252,2060,351
8,1040,1108,32,48,2030,256,2060,353
8,1041,602,80,112,2030,221,2061,104
8,1041,603,0,0,2031,270,2060,321
8,1041,607,64,64,2030,224,2060,324
8,1041,618,32,32,2030,233,2061,114
8,1041,631,64,32,2030,239,2060,342
8,1041,644,16,16,2030,252,2060,351
8,1041,648,32,32,2030,256,2060,353
8,1060,669,64,48,2030,224,2060,324
8,1060,680,-16,0,2031,280,2060,328
8,1060,706,16,16,2030,248,2060,349
8,1060,710,16,16,2030,251,2061,127
8,1060,712,16,0,2030,252,2060,351
8,1060,714,32,48,2030,256,2060,353
8,1061,790,0,-16,2031,270,2060,321
8,1061,795,64,64,2030,224,2060,324
8,1061,806,-16,0,2031,280,2060,328
8,1061,832,16,0,2030,248,2060,349
8,1061,837,16,16,2030,252,2060,351
8,1080,1189,0,-48,2031,270,2060,321
8,1080,1193,64,64,2030,224,2060,324
8,1080,1201,-16,-16,2031,280,2060,328
8,1080,1203,32,48,2031,282,2060,330
8,1080,1221,16,32,2030,248,2060,349
8,1080,1223,16,0,2030,251,2061,127
8,1081,1326,0,-16,2031,270,2060,321
8,1081,1330,64,48,2030,224,2060,324
8,1081,1338,-16,-16,2031,280,2060,328
8,1081,1340,32,48,2031,282,2060,330
8,1081,1359,16,16,2030,248,2060,349
8,1081,1361,16,16,2030,251,2061,127
8,2010,367,0,16,2031,280,2061,111
8,2010,378,16,16,2030,251,2061,127
8,2011,509,0,16,2031,280,2061,111
8,2011,512,32,48,2031,282,2060,330
8,2011,522,16,32,2030,251,2061,127
8,2080,436,32,0,2030,233,2061,114
8,2080,445,80,-16,2031,289,2060,342
8,2080,455,16,-16,2031,302,2060,350
8,2080,456,32,-48,2031,303,2060,351
8,2080,459,48,-32,2031,307,2060,353
8,2081,142,80,16,2031,283,2061,114
8,2081,150,80,-16,2031,289,2060,342
8,2081,159,16,0,2031,302,2060,350
8,2081,160,32,-48,2031,303,2060,351
8,2081,162,48,-16,2031,307,2060,353
9,1020,1159,0,0,2031,315,2061,97
9,1020,1167,96,48,2031,322,2060,283
9,1020,1186,-32,0,2030,267,2061,115
9,1020,1187,96,96,2031,344,2060,300
9,1020,1190,16,16,2031,350,2060,307
9,1021,1058,0,0,2031,315,2061,97
9,1021,1066,96,48,2031,322,2060,283
9,1021,1089,-32,64,2030,267,2061,115
9,1021,1090,96,112,2031,344,2060,300
9,1021,1093,16,0,2031,350,2060,307
9,1040,533,0,32,2030,241,2060,275
9,1040,535,0,0,2031,315,2061,97
9,1040,541,48,48,2030,246,2060,281
9,1040,545,96,16,2031,322,2060,283
9,1040,550,112,80,2031,324,2060,286
9,1040,569,-32,16,2030,267,2061,115
9,1040,570,32,64,2031,345,2060,302
9,1041,693,0,0,2031,315,2061,97
9,1041,699,48,64,2030,246,2060,281
9,1041,703,96,16,2031,322,2060,283
9,1041,708,112,80,2031,324,2060,286
9,1041,726,-32,0,2030,267,2061,115
9,1041,727,96,48,2031,344,2060,300
9,1041,728,32,48,2031,345,2060,302
9,1060,46,0,0,2030,241,2060,275
9,1060,49,-16,-16,2031,315,2060,277
9,1060,53,48,32,2030,246,2060,281
9,1060,58,112,80,2031,324,2060,286
9,1060,81,32,16,2030,268,2060,299
9,1060,82,-32,16,2030,267,2061,115
9,1060,83,96,80,2031,344,2060,300
9,1060,84,32,64,2031,345,2060,302
9,1060,90,16,-16,2031,350,2060,307
9,1061,886,0,0,2030,241,2060,275
9,1061,889,0,0,2031,315,2061,97
9,1061,895,48,32,2030,246,2060,281
9,1061,900,112,64,2031,324,2060,286
9,1061,924,32,16,2030,268,2060,299
9,1061,925,-48,0,2030,267,2060,301
9,1061,926,96,80,2031,344,2060,300
9,1061,927,32,64,2031,345,2060,302
9,1061,933,16,-48,2031,350,2060,307
9,1080,1005,0,16,2030,241,2060,275
9,1080,1009,-16,0,2031,315,2060,277
9,1080,1017,48,32,2030,246,2060,281
9,1080,1022,112,64,2031,324,2060,286
9,1080,1044,32,32,2030,268,2060,299
9,1080,1049,16,0,2031,350,2060,307
9,1081,838,0,32,2030,241,2060,275
9,1081,842,0,0,2031,315,2061,97
9,1081,849,48,48,2030,246,2060,281
9,1081,854,112,64,2031,324,2060,286
9,1081,875,32,16,2030,268,2060,299
9,1081,882,16,-16,2031,350,2060,307
9,2010,523,32,48,2030,268,2060,299
9,2010,524,-32,160,2030,267,2061,115
9,2010,526,16,32,2031,350,2060,307
9,2011,466,32,48,2030,268,2060,299
9,2011,467,-32,192,2030,267,2061,115
9,2011,469,16,32,2031,350,2060,307
9,2080,212,0,-48,2030,241,2060,275
9,2080,214,-16,-32,2031,315,2060,277
9,2080,220,96,-16,2031,322,2060,283
9,2080,231,-48,-64,2030,267,2060,301
9,2080,232,32,0,2031,345,2060,302
9,2081,484,0,-32,2030,241,2060,275
9,2081,486,-16,-32,2031,315,2060,277
9,2081,491,96,-16,2031,322,2060,283
9,2081,493,112,0,2031,324,2060,286
9,2081,503,-48,-48,2030,267,2060,301
9,2081,505,32,-16,2031,345,2060,302
10,1020,22,48,48,2030,469,2060,337
10,1020,25,64,16,2030,473,2061,88
10,1020,40,48,32,2030,483,2060,350
10,1020,47,0,96,2031,322,2060,355
10,1021,794,48,80,2030,469,2060,337
10,1021,798,64,32,2030,473,2061,88
10,1021,815,48,48,2030,483,2060,350
10,1021,822,0,96,2031,322,2060,355
10,1040,490,0,16,2031,284,2061,75
10,1040,509,16,32,2031,301,2061,83
10,1040,513,48,80,2030,469,2060,337
10,1040,514,64,32,2030,473,2061,88
10,1040,530,48,48,2030,483,2060,350
10,1040,535,0,96,2031,322,2060,355
10,1041,539,0,16,2031,284,2061,75
10,1041,558,16,48,2031,301,2061,83
10,1041,563,48,64,2030,469,2060,337
10,1041,564,64,32,2030,473,2061,88
10,1041,578,48,64,2030,483,2060,350
10,1041,583,0,80,2031,322,2060,355
10,1060,1247,0,0,2031,284,2061,75
10,1060,1265,16,0,2030,464,2060,332
10,1060,1278,0,16,2031,312,2060,342
10,1060,1287,48,16,2030,483,2060,350
10,1061,1135,-16,0,2031,284,2060,325
10,1061,1152,16,0,2030,464,2060,332
10,1061,1168,0,16,2031,312,2060,342
10,1061,1177,48,0,2030,483,2060,350
10,1080,828,0,16,2031,284,2061,75
10,1080,851,16,0,2030,464,2060,332
10,1080,856,16,32,2031,301,2061,83
10,1080,861,48,48,2030,469,2060,337
10,1080,865,64,48,2030,473,2061,88
10,1080,869,0,-16,2031,312,2060,342
10,1080,878,48,32,2030,483,2060,350
10,1081,957,0,16,2031,284,2061,75
10,1081,982,16,48,2031,301,2061,83
10,1081,988,48,64,2030,469,2060,337
10,1081,991,64,48,2030,473,2061,88
10,1081,997,0,0,2031,312,2060,342
10,1081,1006,48,16,2030,483,2060,350
10,2010,151,16,16,2030,464,2060,332
10,2010,157,-32,0,2030,476,2061,90
10,2011,216,16,16,2030,464,2060,332
10,2011,222,-32,16,2030,476,2061,90
10,2080,358,-16,-64,2031,284,2060,325
10,2080,375,48,0,2031,299,2060,332
10,2080,377,48,0,2030,466,2061,83
10,2080,381,64,0,2031,305,2060,337
10,2080,384,96,0,2031,309,2061,88
10,2080,386,0,-64,2031,312,2060,342
10,2080,393,48,-16,2030,483,2060,350
10,2081,108,-16,-16,2031,284,2060,325
10,2081,123,48,-16,2031,299,2060,332
10,2081,125,48,-16,2030,466,2061,83
10,2081,129,64,-16,2031,305,2060,337
10,2081,132,96,0,2031,309,2061,88
10,2081,134,0,-32,2031,312,2060,342
11,1020,926,16,48,2031,408,2061,182
11,1020,930,80,48,2030,149,2060,459
11,1020,933,32,64,2030,152,2060,460
11,1020,940,64,80,2030,159,2060,463
11,1021,1023,80,80,2030,149,2060,459
11,1021,1027,32,80,2030,152,2060,460
11,1021,1037,64,96,2030,159,2060,463
11,1040,1212,48,80,2030,138,2060,444
11,1040,1223,16,32,2031,408,2061,182
11,1040,1228,80,64,2030,149,2060,459
11,1040,1232,0,16,2030,154,2061,187
11,1040,1241,64,64,2030,159,2060,463
11,1041,91,48,64,2030,138,2060,444
11,1041,102,16,48,2031,408,2061,182
11,1041,109,80,64,2030,149,2060,459
11,1041,119,64,32,2030,159,2060,463
11,1060,589,32,48,2030,136,2060,443
11,1060,604,32,48,2030,152,2060,460
11,1060,607,0,-16,2030,154,2061,187
11,1060,616,64,80,2030,159,2060,463
11,1060,617,0,0,2031,428,2060,464
11,1061,768,32,64,2030,136,2060,443
11,1061,787,0,0,2030,154,2061,187
11,1061,798,0,0,2031,428,2060,464
11,1080,961,32,64,2030,136,2060,443
11,1080,971,16,32,2031,408,2061,182
11,1080,979,0,-16,2030,154,2061,187
11,1080,984,64,64,2030,159,2060,463
11,1081,872,32,48,2030,136,2060,443
11,1081,883,16,48,2031,408,2061,182
11,1081,892,0,-16,2030,154,2061,187
11,1081,897,64,64,2030,159,2060,463
11,2010,551,32,80,2030,136,2060,443
11,2010,558,-80,16,2031,411,2060,457
