event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
18,2031,111,0,32,2080,180,2010,247
18,2031,122,16,0,2080,188,2021,166
18,2040,275,64,64,2080,179,2021,160
18,2040,276,0,32,2080,180,2010,247
18,2040,288,-80,0,2070,378,2021,166
18,2041,339,0,48,2080,180,2010,247
18,2041,351,-32,-16,2070,378,2010,253
18,2050,50,64,16,2080,179,2021,160
18,2050,51,0,48,2080,180,2010,247
18,2051,140,64,0,2080,179,2021,160
18,2051,141,0,16,2080,180,2010,247
18,2060,76,64,32,2080,179,2021,160
18,2060,78,0,80,2080,180,2010,247
18,2061,307,64,48,2080,179,2021,160
18,2061,309,0,80,2080,180,2010,247
19,1060,927,64,48,2080,242,2010,75
19,1060,947,48,48,2080,251,2010,80
19,1060,958,96,64,2080,259,2010,89
19,1061,763,64,48,2080,242,2010,75
19,1061,781,48,64,2080,251,2010,80
19,1061,794,96,48,2080,259,2010,89
19,1080,715,64,32,2080,242,2010,75
19,1080,729,48,16,2080,251,2010,80
19,1080,741,96,48,2080,259,2010,89
19,1081,1120,64,48,2080,242,2010,75
19,1081,1138,48,32,2080,251,2010,80
19,1081,1148,96,64,2080,259,2010,89
19,2030,288,48,96,2080,251,2010,80
19,2031,406,96,32,2080,259,2010,89
19,2040,127,48,64,2080,251,2010,80
19,2040,136,96,32,2080,259,2010,89
19,2041,365,96,48,2080,259,2010,89
19,2050,150,96,0,2081,52,2010,75
19,2050,165,48,0,2080,251,2010,80
19,2050,173,96,-16,2080,259,2010,89
19,2051,187,96,0,2081,52,2010,75
19,2051,202,48,32,2080,251,2010,80
19,2051,209,96,32,2080,259,2010,89
19,2060,418,64,64,2080,242,2010,75
19,2060,436,48,48,2080,251,2010,80
19,2060,442,96,48,2080,259,2010,89
19,2061,455,64,32,2080,242,2010,75
19,2061,477,96,64,2080,259,2010,89
20,1020,904,64,64,2081,270,2010,52
20,1040,528,-16,-16,2070,456,2010,48
20,1041,729,-16,0,2070,456,2010,48
20,1060,696,64,16,2081,270,2010,52
20,1061,19,64,32,2081,270,2010,52
20,1080,936,-16,16,2070,456,2010,48
20,1080,944,64,32,2081,270,2010,52
20,1081,1163,64,48,2081,270,2010,52
20,2031,292,64,16,2080,231,2010,48
20,2040,111,64,16,2080,231,2010,48
20,2040,130,64,160,2081,270,2010,52
20,2041,401,64,16,2080,231,2010,48
20,2050,166,80,-32,2080,239,2010,52
20,2051,201,80,-16,2080,239,2010,52
20,2060,337,-16,16,2070,456,2010,48
20,2060,347,64,32,2081,270,2010,52
20,2061,380,64,64,2081,270,2010,52
21,1060,1230,0,0,2081,141,2010,375
21,1061,543,0,0,2081,141,2010,375
21,1080,698,-32,16,2070,289,2021,500
21,1081,1057,-32,0,2070,289,2021,500
21,2040,176,48,-32,2080,467,2010,375
21,2050,440,48,16,2080,467,2010,375
21,2051,113,0,0,2081,141,2010,375
21,2060,348,-32,32,2070,289,2021,500
21,2061,515,-32,32,2070,289,2021,500
22,1060,67,64,64,2081,103,2010,398
22,1061,742,64,64,2081,103,2010,398
22,1080,1061,64,64,2081,103,2010,398
22,1081,17,64,48,2081,103,2010,398
22,2030,164,64,16,2080,453,2021,482
22,2031,197,64,80,2081,103,2010,398
22,2031,206,64,0,2080,453,2021,482
22,2040,268,64,64,2081,103,2010,398
22,2040,276,64,16,2080,453,2021,482
22,2041,343,64,16,2080,453,2021,482
